file,subset,idx,label,rpm,rms,kurtosis,env_kurtosis,E_bpfi,E_bpfo,E_bsf
SCA bearing dataset/1/test.mat,FS,0,0,1144.63354,0.08032823424105336,3.1773427611782736,3.1773427611782736,0.009130479594773762,0.005819990939595579,0.02063637142170971
SCA bearing dataset/1/test.mat,FS,1,0,1158.93359,0.07396464129783356,3.716964867640655,3.716964867640655,0.010472977283471033,0.006832292406732079,0.014154816173449181
SCA bearing dataset/1/test.mat,FS,2,0,1195.37231,0.06666808559558916,3.6901995142639494,3.6901995142639494,0.010053585366175878,0.009027308207135548,0.010737526233337298
SCA bearing dataset/1/test.mat,FS,3,0,1129.66663,0.07330685673766023,3.9472619283318595,3.9472619283318595,0.016410825115798333,0.010979203347401585,0.010946676204779513
SCA bearing dataset/1/test.mat,FS,4,0,1195.6261,0.07870164205928355,3.4508680873261843,3.4508680873261843,0.007041989531003403,0.014589441013820556,0.015271535439288452
SCA bearing dataset/1/test.mat,FS,5,0,1029.07715,0.06941747316146221,3.9191937627960476,3.9191937627960476,0.012098780301778831,0.008149514017375797,0.006840504073347134
SCA bearing dataset/1/test.mat,FS,6,0,1109.23535,0.06633854887202935,3.877371669697175,3.877371669697175,0.008758368429364524,0.010227387134241858,0.009338484018864779
SCA bearing dataset/1/test.mat,FS,7,0,943.724548,0.06740378859497587,3.9454078469039047,3.9454078469039047,0.01636067981436808,0.008279093376213988,0.012933901391403914
SCA bearing dataset/1/test.mat,FS,8,0,1192.6958,0.07656124712192329,3.981418492341094,3.981418492341094,0.012763229777639946,0.015211824514870059,0.01217916977973148
SCA bearing dataset/1/test.mat,FS,9,0,1228.98608,0.09843502678768079,3.2888166314876206,3.2888166314876206,0.012479379208465383,0.010026229614345347,0.01705468297959619
SCA bearing dataset/3/test.mat,DS,1,-1,28.0351887,0.10595141380093516,3.095740245515298,3.095740245515298,0.01010051439856263,0.014336804031799405,0.009812382956060385
SCA bearing dataset/3/test.mat,FS,1,-1,22.2157421,0.10146538223472955,3.2395838536214994,3.2395838536214994,0.011548074448339688,0.01433190325004005,0.016725340481774535
SCA bearing dataset/3/test.mat,FS,68,-1,22.13859,0.504675795616096,3.9084572902653125,3.9084572902653125,0.16734201532409773,0.005785884644304433,0.030608206072725196
SCA bearing dataset/3/train.mat,DS,11,-1,14.2153978,0.0633611613218473,2.976230950217664,2.976230950217664,0.0067053537034208344,0.012224428135271347,0.006571535991825124
SCA bearing dataset/3/train.mat,DS,108,-1,27.273428,0.14093082941648355,3.3780480106129938,3.3780480106129938,0.010056474451619262,0.014161741720144205,0.018287278598814568
SCA bearing dataset/3/train.mat,FS,11,-1,11.3918543,0.05674719084692624,3.0445305575028185,3.0445305575028185,0.010155341400878455,0.015336010184739079,0.013880644156286297
SCA bearing dataset/4/test.mat,FS,6,-1,1087.551,8.466215367590726,3.448612332675491,3.448612332675491,0.00018021420586184856,0.0017231504592881916,0.002050607836947303
SCA bearing dataset/4/test.mat,FS,10,-1,1076.07629,6.221128521448004,3.5251848082423596,3.5251848082423596,0.00035074086377453925,0.00028831021758746216,0.000497040451897244
SCA bearing dataset/4/test.mat,FS,82,-1,1055.61914,2.0075231510436073,4.250304952834121,4.250304952834121,0.0008970421476646906,0.0015468903159657364,0.0002443290548446672
SCA bearing dataset/9/test.mat,DS,146,-1,1162.0,0.01973918898536029,6.016069449557623,6.016069449557623,0.0002985283344069873,0.00021188764702393412,0.0005064936446326686
