file_path,subset,sample_idx,label,rms_old,kurtosis_old,envelope_kurtosis_old,E_bpfi_old,E_bpfo_old,E_bsf_old,rms_calc,kurtosis_calc,envelope_kurtosis_calc,E_bpfi_harmonic,E_bpfi_weighted,E_bpfo_harmonic,E_bpfo_weighted,E_bsf_harmonic,E_bsf_weighted
/home/teaching/Hackathon_dl/SCA bearing dataset/1/test.mat,FS,0,0,0.0568010992567331,2.946627016336888,3.1773427611782736,6131.1558035618,4386.8922406576,846.538768161519,0.08032823424105336,3.1773427611782736,3.1773427611782736,0.009130479594773762,7.851528325967314,0.005819990939595579,7.547814091667682,0.02063637142170971,8.43579453733991
/home/teaching/Hackathon_dl/SCA bearing dataset/1/test.mat,FS,1,0,0.052303960630426,3.115111997177219,3.7169648676406544,6273.260730072352,5072.101930772027,729.8877495090533,0.07396464129783356,3.716964867640655,3.716964867640655,0.010472977283471033,7.900510385038165,0.006832292406732079,7.457925303107562,0.014154816173449181,8.01132405184759
/home/teaching/Hackathon_dl/SCA bearing dataset/1/test.mat,FS,2,0,0.047142265187499,3.137988485502803,3.690199514263949,8820.186199675105,8733.784053198215,871.4209946051164,0.06666808559558916,3.6901995142639494,3.6901995142639494,0.010053585366175878,7.626478107025115,0.009027308207135548,7.581412592249792,0.010737526233337298,7.646380831924185
/home/teaching/Hackathon_dl/SCA bearing dataset/1/test.mat,FS,3,0,0.0518382513721571,3.261954103271651,3.9472619283318577,6403.443414623387,2718.543886147508,822.4542112674019,0.07330685673766023,3.9472619283318595,3.9472619283318595,0.016410825115798333,8.133165734993458,0.010979203347401585,7.92485878697584,0.010946676204779513,7.786601110049238
/home/teaching/Hackathon_dl/SCA bearing dataset/1/test.mat,FS,4,0,0.0556504676235666,2.980747568030512,3.4508680873261834,9104.81181264305,9039.166982392871,724.9128382329891,0.07870164205928355,3.4508680873261843,3.4508680873261843,0.007041989531003403,7.688762289853919,0.014589441013820556,8.195392047187989,0.015271535439288452,8.196886667576694
/home/teaching/Hackathon_dl/SCA bearing dataset/1/test.mat,FS,5,0,0.0490870568750036,3.1410838162925483,3.919193762796048,5555.168720822932,619.2027609394581,1145.2490936649324,0.06941747316146221,3.9191937627960476,3.9191937627960476,0.012098780301778831,7.888755391570463,0.008149514017375797,7.4697394474329855,0.006840504073347134,7.642195939862096
/home/teaching/Hackathon_dl/SCA bearing dataset/1/test.mat,FS,6,0,0.0469121060021698,3.230413570594404,3.877371669697173,7987.267355243308,1990.322867033324,1031.5681459157045,0.06633854887202935,3.877371669697175,3.877371669697175,0.008758368429364524,7.824452475484338,0.010227387134241858,7.614490964952779,0.009338484018864779,7.499411155478718
/home/teaching/Hackathon_dl/SCA bearing dataset/1/test.mat,FS,7,0,0.0476645109403048,3.252749386652193,3.9454078469039056,14283.03670269951,789.9995965735443,1030.9203025637664,0.06740378859497587,3.9454078469039047,3.9454078469039047,0.01636067981436808,8.21491776529482,0.008279093376213988,7.513379276484667,0.012933901391403914,7.937092301813196
/home/teaching/Hackathon_dl/SCA bearing dataset/1/test.mat,FS,8,0,0.0541391340382827,3.1535582566840428,3.981418492341093,11951.37210890691,11255.260849029812,622.2117807688469,0.07656124712192329,3.981418492341094,3.981418492341094,0.012763229777639946,8.07057162274775,0.015211824514870059,8.216756269716447,0.01217916977973148,8.019410759777
/home/teaching/Hackathon_dl/SCA bearing dataset/1/test.mat,FS,9,0,0.0696063441213818,2.7441604986428114,3.2888166314876206,13821.068909580375,14377.562916681973,764.2948852630032,0.09843502678768079,3.2888166314876206,3.2888166314876206,0.012479379208465383,8.322539804887974,0.010026229614345347,8.170556342018985,0.01705468297959619,8.698972466986806
